   9.1333736e-01   7.7491046e-01   2.6380292e-01   5.1324954e-01   9.4478719e-01   4.0391215e-01   1.5403438e-02   1.8895502e-01   4.3585859e-01   5.3282559e-01
   1.5237802e-01   8.1730322e-01   1.4553898e-01   4.0180803e-01   4.9086409e-01   9.6454525e-02   4.3023802e-02   6.8677543e-01   4.4678375e-01   3.5072710e-01
   8.2581698e-01   8.6869471e-01   1.3606856e-01   7.5966692e-02   4.8925264e-01   1.3197329e-01   1.6899003e-01   1.8351116e-01   3.0634947e-01   9.3900156e-01
   5.3834244e-01   8.4435846e-02   8.6929221e-01   2.3991615e-01   3.3771941e-01   9.4205059e-01   6.4911547e-01   3.6848460e-01   5.0850866e-01   8.7594281e-01
   9.9613472e-01   3.9978265e-01   5.7970459e-01   1.2331893e-01   9.0005385e-01   9.5613454e-01   7.3172239e-01   6.2561856e-01   5.1077156e-01   5.5015634e-01
   7.8175529e-02   2.5987040e-01   5.4986020e-01   1.8390779e-01   3.6924678e-01   5.7520860e-01   6.4774596e-01   7.8022744e-01   8.1762771e-01   6.2247509e-01
   4.4267827e-01   8.0006848e-01   1.4495480e-01   2.3995253e-01   1.1120276e-01   5.9779543e-02   4.5092371e-01   8.1125769e-02   7.9483142e-01   5.8704470e-01
   1.0665277e-01   4.3141383e-01   8.5303112e-01   4.1726707e-01   7.8025207e-01   2.3477991e-01   5.4700889e-01   9.2938597e-01   6.4431813e-01   2.0774229e-01
   9.6189808e-01   9.1064759e-01   6.2205513e-01   4.9654430e-02   3.8973884e-01   3.5315857e-01   2.9632081e-01   7.7571268e-01   3.7860938e-01   3.0124633e-01
   4.6342241e-03   1.8184703e-01   3.5095238e-01   9.0271611e-01   2.4169129e-01   8.2119404e-01   7.4469281e-01   4.8679163e-01   8.1158046e-01   4.7092335e-01
